wsj_0161.tml_3_1	CT+	_ _ hadson corp. said it expects 
wsj_0161.tml_3_2	Uu	hadson corp. said it expects to report 
wsj_0161.tml_3_3	Uu	said it expects to report a third-quarter 
wsj_0161.tml_3_4	Uu	report a third-quarter net loss of dollar17 
wsj_0161.tml_4_5	Uu	that wo not be reimbursed. _ _ 
wsj_0161.tml_4_6	Uu	record a dollar7.5 million reserve for its 
wsj_0161.tml_4_7	Uu	including a dollar4.7 million charge related to 
wsj_0161.tml_4_8	Uu	dollar2.8 million in overhead costs that wo 
wsj_0161.tml_4_9	CT+	energy and defense concern said it will 
wsj_0161.tml_4_10	Uu	concern said it will record a dollar7.5 
wsj_0161.tml_5_11	CT+	_ in additioncomma hadson said it will 
wsj_0161.tml_5_12	Uu	hadson said it will write off about 
wsj_0161.tml_5_13	Uu	exploration efforts have been unsuccessful. _ _ 
wsj_0161.tml_5_14	Uu	international exploration leases where exploration efforts have 
wsj_0161.tml_6_15	CT+	_ the company also cited interest costs 
wsj_0161.tml_6_16	Uu	cited interest costs and amortization of goodwill 
wsj_0161.tml_6_17	CT+	as factors in the loss. _ _ 
wsj_0161.tml_6_18	Uu	company also cited interest costs and amortization 
wsj_0161.tml_7_19	CT+	a year earliercomma net income was dollar2.1 
CNN19980126.1600.1104.tml_1_20	CT+	_ _ major job cuts at at 
CNN19980126.1600.1104.tml_2_21	CT+	the long distance giant slashing up to 
CNN19980126.1600.1104.tml_2_22	CT+	to eighteen thousand jobscomma freezing executive salaries 
CNN19980126.1600.1104.tml_2_23	CT+	freezing executive salaries and shaking up management. 
CNN19980126.1600.1104.tml_3_24	CT+	_ _ _ the changes are part 
CNN19980126.1600.1104.tml_3_25	CT+	billion dollar cost cutting initiative to revitalize 
CNN19980126.1600.1104.tml_3_26	NA	six billion dollar cost cutting initiative to 
CNN19980126.1600.1104.tml_3_27	Uu	cost cutting initiative to revitalize its position 
CNN19980126.1600.1104.tml_4_28	CT+	announced an eighteen percent drop in profits 
CNN19980126.1600.1104.tml_4_29	CT+	eighteen percent drop in profits for the 
CNN19980126.1600.1104.tml_4_30	CT+	at and t also announced an eighteen 
CNN19980126.1600.1104.tml_5_31	CT+	sales force applauded the shake up. _ 
CNN19980126.1600.1104.tml_5_32	CT+	the companysquotes sales force applauded the shake 
CNN19980126.1600.1104.tml_6_33	CT+	not something wesquotere not used to in 
CNN19980126.1600.1104.tml_7_34	CT+	_ _ but i think right nowcomma 
